scenario,scenario_type,scenario_group,fault_percentage,workload_users,checkout_error,checkout_success,checkout_success_rate,checkout_http_req_duration,iteration_duration_p(95),normalized_iteration_duration_p(95),rt_fc_GRPC_BACKOFF_MULTIPLIER,rt_fc_GRPC_INITIAL_BACKOFF,rt_fc_GRPC_MAX_ATTEMPTS,rt_fc_GRPC_MAX_BACKOFF,rt_cp_GRPC_BACKOFF_MULTIPLIER,rt_cp_GRPC_INITIAL_BACKOFF,rt_cp_GRPC_MAX_ATTEMPTS,rt_cp_GRPC_MAX_BACKOFF
retry-fcp-300vu-25f-00001,retry,retry_checkout,25,300,300,700.0,0.7,1402.4949065,28356.444297749997,0.32017168514989097,0.0,0.0,0.0,0.0,1.0,0.5,2.0,15.0
retry-fcp-300vu-25f-00002,retry,retry_checkout,25,300,316,684.0,0.684,1294.1974125000002,28126.90778209999,0.29984237821627285,0.0,0.0,0.0,0.0,1.5,0.5,2.0,15.0
retry-fcp-300vu-25f-00003,retry,retry_checkout,25,300,301,699.0,0.699,1600.969646,30379.19462545,0.4993201406600833,0.0,0.0,0.0,0.0,2.0,0.5,2.0,15.0
retry-fcp-300vu-25f-00004,retry,retry_checkout,25,300,283,717.0,0.717,1505.177165,29607.586468649995,0.4309813013793273,0.0,0.0,0.0,0.0,1.0,1.0,2.0,15.0
retry-fcp-300vu-25f-00005,retry,retry_checkout,25,300,286,714.0,0.714,1587.973217,29008.01215275,0.37787894307730224,0.0,0.0,0.0,0.0,1.5,1.0,2.0,15.0
retry-fcp-300vu-25f-00006,retry,retry_checkout,25,300,296,704.0,0.704,1410.5349545,28339.7484033,0.3186929837683522,0.0,0.0,0.0,0.0,2.0,1.0,2.0,15.0
retry-fcp-300vu-25f-00007,retry,retry_checkout,25,300,269,731.0,0.731,1494.906613,27796.762243549998,0.2706024554661116,0.0,0.0,0.0,0.0,1.0,1.5,2.0,15.0
retry-fcp-300vu-25f-00008,retry,retry_checkout,25,300,304,696.0,0.696,1700.4592659999998,32683.18556725,0.7033771679068783,0.0,0.0,0.0,0.0,1.5,1.5,2.0,15.0
retry-fcp-300vu-25f-00009,retry,retry_checkout,25,300,290,710.0,0.71,2007.3381184999998,34389.54131645,0.8545035787317413,0.0,0.0,0.0,0.0,2.0,1.5,2.0,15.0
retry-fcp-300vu-25f-00010,retry,retry_checkout,25,300,263,737.0,0.737,1690.398723,31404.758562349998,0.5901510221616563,0.0,0.0,0.0,0.0,1.0,0.5,3.0,15.0
